Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS01,Chrome 85.0.4183.102,,,2020-09-23 04:50:05,2020-09-23 04:50:37,31.778s,PASSED
,,,,,,,
Test Cases/TC02_LoginSucc,Chrome 85.0.4183.102,,,2020-09-23 04:50:06,2020-09-23 04:50:12,6.158s,PASSED
"openBrowser("""")",Chrome 85.0.4183.102,,,2020-09-23 04:50:06,2020-09-23 04:50:08,1.707s,PASSED
"navigateToUrl(""https://online.hcmue.edu.vn/online/"")",Chrome 85.0.4183.102,,,2020-09-23 04:50:08,2020-09-23 04:50:08,0.715s,PASSED
"click(findTestObject(""Object Repository/Page_UP Portal  HoChiMinh University of Pedagogy/a_ng nhp""))",Chrome 85.0.4183.102,,,2020-09-23 04:50:08,2020-09-23 04:50:09,0.539s,PASSED
"setText(findTestObject(""Object Repository/Page_UP Portal  HoChiMinh University of Pedagogy/input_Tn ng nhp_ctl00ContentPlaceHolder1ctl_537cb7""), ""43.01.104.196"")",Chrome 85.0.4183.102,,,2020-09-23 04:50:09,2020-09-23 04:50:10,1.189s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_UP Portal  HoChiMinh University of Pedagogy/input_Mt m_ctl00ContentPlaceHolder1ctl00ctl_4544f5""), ""MVyg4iz2AWvX5eqkRTLXhA=="")",Chrome 85.0.4183.102,,,2020-09-23 04:50:10,2020-09-23 04:50:11,0.516s,PASSED
"click(findTestObject(""Object Repository/Page_UP Portal  HoChiMinh University of Pedagogy/input_S lng truy cp _ctl00ContentPlaceHolde_c71575""))",Chrome 85.0.4183.102,,,2020-09-23 04:50:11,2020-09-23 04:50:11,0.620s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_UP Portal  HoChiMinh University of Pedagogy/td_THNG BAO SINH VIN""), 0)",Chrome 85.0.4183.102,,,2020-09-23 04:50:11,2020-09-23 04:50:12,0.426s,PASSED
closeBrowser(),Chrome 85.0.4183.102,,,2020-09-23 04:50:12,2020-09-23 04:50:12,0.091s,PASSED
,,,,,,,
Test Cases/TC04_XemTKB,Chrome 85.0.4183.102,,,2020-09-23 04:50:12,2020-09-23 04:50:21,9.388s,PASSED
"openBrowser("""")",Chrome 85.0.4183.102,,,2020-09-23 04:50:12,2020-09-23 04:50:13,0.648s,PASSED
"navigateToUrl(""https://online.hcmue.edu.vn/online/"")",Chrome 85.0.4183.102,,,2020-09-23 04:50:13,2020-09-23 04:50:14,0.999s,PASSED
"click(findTestObject(""Object Repository/Page_UP Portal  HoChiMinh University of Pedagogy/a_ng nhp""))",Chrome 85.0.4183.102,,,2020-09-23 04:50:14,2020-09-23 04:50:14,0.365s,PASSED
"setText(findTestObject(""Object Repository/Page_UP Portal  HoChiMinh University of Pedagogy/input_Tn ng nhp_ctl00ContentPlaceHolder1ctl_537cb7""), ""43.01.104.196"")",Chrome 85.0.4183.102,,,2020-09-23 04:50:14,2020-09-23 04:50:15,1.103s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_UP Portal  HoChiMinh University of Pedagogy/input_Mt m_ctl00ContentPlaceHolder1ctl00ctl_4544f5""), ""MVyg4iz2AWvX5eqkRTLXhA=="")",Chrome 85.0.4183.102,,,2020-09-23 04:50:15,2020-09-23 04:50:15,0.420s,PASSED
"click(findTestObject(""Object Repository/Page_UP Portal  HoChiMinh University of Pedagogy/input_S lng truy cp _ctl00ContentPlaceHolde_c71575""))",Chrome 85.0.4183.102,,,2020-09-23 04:50:15,2020-09-23 04:50:16,0.572s,PASSED
"click(findTestObject(""Object Repository/Page_UP Portal  HoChiMinh University of Pedagogy/a_Thi kha biu - Lch thi""))",Chrome 85.0.4183.102,,,2020-09-23 04:50:16,2020-09-23 04:50:17,0.561s,PASSED
"verifyElementPresent(findTestObject(""Page_UP Portal  HoChiMinh University of Pedagogy/a_Thi kha biu - Lch thi""), 0)",Chrome 85.0.4183.102,,,2020-09-23 04:50:17,2020-09-23 04:50:21,4.474s,PASSED
closeBrowser(),Chrome 85.0.4183.102,,,2020-09-23 04:50:21,2020-09-23 04:50:21,0.085s,PASSED
,,,,,,,
Test Cases/TC03_XemDiem,Chrome 85.0.4183.102,,,2020-09-23 04:50:21,2020-09-23 04:50:27,5.409s,PASSED
"openBrowser("""")",Chrome 85.0.4183.102,,,2020-09-23 04:50:21,2020-09-23 04:50:22,0.638s,PASSED
"navigateToUrl(""https://online.hcmue.edu.vn/online/"")",Chrome 85.0.4183.102,,,2020-09-23 04:50:22,2020-09-23 04:50:23,0.686s,PASSED
"click(findTestObject(""Object Repository/Page_UP Portal  HoChiMinh University of Pedagogy/a_ng nhp""))",Chrome 85.0.4183.102,,,2020-09-23 04:50:23,2020-09-23 04:50:23,0.355s,PASSED
"setText(findTestObject(""Object Repository/Page_UP Portal  HoChiMinh University of Pedagogy/input_Tn ng nhp_ctl00ContentPlaceHolder1ctl_537cb7""), ""43.01.104.196"")",Chrome 85.0.4183.102,,,2020-09-23 04:50:23,2020-09-23 04:50:24,1.051s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_UP Portal  HoChiMinh University of Pedagogy/input_Mt m_ctl00ContentPlaceHolder1ctl00ctl_4544f5""), ""MVyg4iz2AWvX5eqkRTLXhA=="")",Chrome 85.0.4183.102,,,2020-09-23 04:50:24,2020-09-23 04:50:24,0.419s,PASSED
"click(findTestObject(""Object Repository/Page_UP Portal  HoChiMinh University of Pedagogy/input_S lng truy cp _ctl00ContentPlaceHolde_c71575""))",Chrome 85.0.4183.102,,,2020-09-23 04:50:24,2020-09-23 04:50:25,0.641s,PASSED
"click(findTestObject(""Object Repository/Page_UP Portal  HoChiMinh University of Pedagogy/a_Xem im""))",Chrome 85.0.4183.102,,,2020-09-23 04:50:25,2020-09-23 04:50:26,0.467s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_UP Portal  HoChiMinh University of Pedagogy/td_XEM IM""), 0)",Chrome 85.0.4183.102,,,2020-09-23 04:50:26,2020-09-23 04:50:26,0.890s,PASSED
closeBrowser(),Chrome 85.0.4183.102,,,2020-09-23 04:50:26,2020-09-23 04:50:27,0.074s,PASSED
,,,,,,,
Test Cases/TC01_LoginFail,Chrome 85.0.4183.102,,,2020-09-23 04:50:27,2020-09-23 04:50:31,4.607s,PASSED
"openBrowser("""")",Chrome 85.0.4183.102,,,2020-09-23 04:50:27,2020-09-23 04:50:27,0.581s,PASSED
"navigateToUrl(""https://online.hcmue.edu.vn/online/"")",Chrome 85.0.4183.102,,,2020-09-23 04:50:27,2020-09-23 04:50:28,0.970s,PASSED
"click(findTestObject(""Object Repository/Page_UP Portal  HoChiMinh University of Pedagogy/a_ng nhp""))",Chrome 85.0.4183.102,,,2020-09-23 04:50:28,2020-09-23 04:50:29,0.352s,PASSED
"setText(findTestObject(""Object Repository/Page_UP Portal  HoChiMinh University of Pedagogy/input_Tn ng nhp_ctl00ContentPlaceHolder1ctl_537cb7""), ""43.01.104.196"")",Chrome 85.0.4183.102,,,2020-09-23 04:50:29,2020-09-23 04:50:30,1.160s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_UP Portal  HoChiMinh University of Pedagogy/input_Mt m_ctl00ContentPlaceHolder1ctl00ctl_4544f5""), ""tzH6RvlfSTg="")",Chrome 85.0.4183.102,,,2020-09-23 04:50:30,2020-09-23 04:50:30,0.410s,PASSED
"click(findTestObject(""Object Repository/Page_UP Portal  HoChiMinh University of Pedagogy/input_S lng truy cp _ctl00ContentPlaceHolde_c71575""))",Chrome 85.0.4183.102,,,2020-09-23 04:50:30,2020-09-23 04:50:31,0.473s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_UP Portal  HoChiMinh University of Pedagogy/td_Mt m truy cp khng chnh xc""), 0)",Chrome 85.0.4183.102,,,2020-09-23 04:50:31,2020-09-23 04:50:31,0.407s,PASSED
closeBrowser(),Chrome 85.0.4183.102,,,2020-09-23 04:50:31,2020-09-23 04:50:31,0.077s,PASSED
,,,,,,,
Test Cases/TC05_XemTinNhan,Chrome 85.0.4183.102,,,2020-09-23 04:50:31,2020-09-23 04:50:37,5.881s,PASSED
"openBrowser("""")",Chrome 85.0.4183.102,,,2020-09-23 04:50:31,2020-09-23 04:50:32,0.629s,PASSED
"navigateToUrl(""https://online.hcmue.edu.vn/online/"")",Chrome 85.0.4183.102,,,2020-09-23 04:50:32,2020-09-23 04:50:33,0.700s,PASSED
"click(findTestObject(""Object Repository/Page_UP Portal  HoChiMinh University of Pedagogy/Page_UP Portal  HoChiMinh University of Pedagogy/a_ng nhp""))",Chrome 85.0.4183.102,,,2020-09-23 04:50:33,2020-09-23 04:50:33,0.561s,PASSED
"setText(findTestObject(""Object Repository/Page_UP Portal  HoChiMinh University of Pedagogy/Page_UP Portal  HoChiMinh University of Pedagogy/input_Tn ng nhp_ctl00ContentPlaceHolder1ctl_537cb7""), ""43.01.104.196"")",Chrome 85.0.4183.102,,,2020-09-23 04:50:33,2020-09-23 04:50:35,1.314s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_UP Portal  HoChiMinh University of Pedagogy/Page_UP Portal  HoChiMinh University of Pedagogy/input_Mt m_ctl00ContentPlaceHolder1ctl00ctl_4544f5""), ""MVyg4iz2AWvX5eqkRTLXhA=="")",Chrome 85.0.4183.102,,,2020-09-23 04:50:35,2020-09-23 04:50:35,0.421s,PASSED
"click(findTestObject(""Object Repository/Page_UP Portal  HoChiMinh University of Pedagogy/Page_UP Portal  HoChiMinh University of Pedagogy/input_S lng truy cp _ctl00ContentPlaceHolde_c71575""))",Chrome 85.0.4183.102,,,2020-09-23 04:50:35,2020-09-23 04:50:36,0.603s,PASSED
"click(findTestObject(""Object Repository/Page_UP Portal  HoChiMinh University of Pedagogy/Page_UP Portal  HoChiMinh University of Pedagogy/a_Xem tin nhn""))",Chrome 85.0.4183.102,,,2020-09-23 04:50:36,2020-09-23 04:50:36,0.443s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_UP Portal  HoChiMinh University of Pedagogy/Page_UP Portal  HoChiMinh University of Pedagogy/a_N hc ph""), 0)",Chrome 85.0.4183.102,,,2020-09-23 04:50:36,2020-09-23 04:50:37,0.962s,PASSED
closeBrowser(),Chrome 85.0.4183.102,,,2020-09-23 04:50:37,2020-09-23 04:50:37,0.084s,PASSED
